"Cluster"	"Ensembl.Code"	"MGI.Symbol"	"Type.Restricted"	"Mean.Outside.Cluster"	"Mean.Inside.Cluster"	"Factor.Difference"	"P.Value"	"Adjusted.P.Value"	"Chromosome"	"Annotation"
"1"	"ENSMUSG00000032332"	"Col12a1"	"TRE+NRE"	0.162577124229913	0.345214874743633	2.12339144500697	1.23033618789838e-10	6.11700032211492e-09	"9"	"collagen, type XII, alpha 1 [Source:MGI Symbol;Acc:MGI:88448]"
"1"	"ENSMUSG00000028788"	"Ptp4a2"	"TRE+NRE"	0.464543282662071	0.758131416120972	1.63199306591302	1.708272964207e-10	8.3807192840036e-09	"4"	"protein tyrosine phosphatase 4a2 [Source:MGI Symbol;Acc:MGI:1277117]"
"1"	"ENSMUSG00000027800"	"Tm4sf1"	"TRE+NRE"	0.305879302207786	0.120700929587292	0.394603128476143	2.49326678322495e-10	1.19162066646003e-08	"3"	"transmembrane 4 superfamily member 1 [Source:MGI Symbol;Acc:MGI:104678]"
"1"	"ENSMUSG00000041453"	"Rpl21"	"TRE+NRE"	1.1533905858243	1.7131380184335	1.48530605285734	3.11296467469651e-10	1.47825912244563e-08	"5"	"ribosomal protein L21 [Source:MGI Symbol;Acc:MGI:1278340]"
"1"	"ENSMUSG00000029581"	"Fscn1"	"TRE+NRE"	0.259904851599127	0.478632538099714	1.84156830915165	4.68231507747686e-10	2.16791188087179e-08	"5"	"fascin actin-bundling protein 1 [Source:MGI Symbol;Acc:MGI:1352745]"
"1"	"ENSMUSG00000022443"	"Myh9"	"TRE+NRE"	0.74428440767885	0.444605958951364	0.597360302546075	7.33591438544838e-10	3.3276453634303e-08	"15"	"myosin, heavy polypeptide 9, non-muscle [Source:MGI Symbol;Acc:MGI:107717]"
"1"	"ENSMUSG00000000957"	"Mmp14"	"TRE+NRE"	0.44660058739559	0.723603312669713	1.62024711362227	7.39147034453762e-10	3.3276453634303e-08	"14"	"matrix metallopeptidase 14 (membrane-inserted) [Source:MGI Symbol;Acc:MGI:101900]"
"1"	"ENSMUSG00000047215"	"Rpl9"	"TRE+NRE"	0.872313307657163	1.3080217706447	1.49948620428336	9.33937911311846e-10	4.12864132268967e-08	"5"	"ribosomal protein L9 [Source:MGI Symbol;Acc:MGI:1298373]"
"1"	"ENSMUSG00000032334"	"Loxl1"	"TRE+NRE"	0.156793820656023	0.330128268308507	2.10549284995579	9.36300947910184e-10	4.12864132268967e-08	"9"	"lysyl oxidase-like 1 [Source:MGI Symbol;Acc:MGI:106096]"
"1"	"ENSMUSG00000051855"	"Mest"	"TRE"	0.124671982198605	0.278949320744598	2.23746599536876	1.19841108946083e-09	5.16152869228246e-08	"6"	"mesoderm specific transcript [Source:MGI Symbol;Acc:MGI:96968]"
"1"	"ENSMUSG00000031673"	"Cdh11"	"TRE+NRE"	0.295557592306218	0.520774367399109	1.76200639386571	1.8047523407716e-09	7.63977448024917e-08	"8"	"cadherin 11 [Source:MGI Symbol;Acc:MGI:99217]"
"1"	"ENSMUSG00000021388"	"Aspn"	"TRE"	0.22529192085373	0.421124680962801	1.86924004805398	2.08718846957124e-09	8.7355323065445e-08	"13"	"asporin [Source:MGI Symbol;Acc:MGI:1913945]"
"1"	"ENSMUSG00000023092"	"Fhl1"	"TRE+NRE"	0.141892685199641	0.302355395987218	2.13087373434231	2.54246870656789e-09	1.05812405495814e-07	"X"	"four and a half LIM domains 1 [Source:MGI Symbol;Acc:MGI:1298387]"
"1"	"ENSMUSG00000022836"	"Mylk"	"TRE+NRE"	0.587207118214255	0.33229847255281	0.565896533344754	3.0033043787545e-09	1.22244389218754e-07	"16"	"myosin, light polypeptide kinase [Source:MGI Symbol;Acc:MGI:894806]"
"1"	"ENSMUSG00000002107"	"Celf2"	"TRE+NRE"	0.358426165021021	0.595586461499	1.66167127186173	3.21524405772504e-09	1.30155890599055e-07	"2"	"CUGBP, Elav-like family member 2 [Source:MGI Symbol;Acc:MGI:1338822]"
"1"	"ENSMUSG00000042284"	"Itga1"	"TRE+NRE"	0.467000115913918	0.244127183129896	0.522756151038933	3.84445666510251e-09	1.53944513378808e-07	"13"	"integrin alpha 1 [Source:MGI Symbol;Acc:MGI:96599]"
"1"	"ENSMUSG00000052133"	"Sema5b"	"TRE"	0.142667771903762	0.297074578085973	2.0822823131097	4.67373613063464e-09	1.83190673310801e-07	"16"	"sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5B [Source:MGI Symbol;Acc:MGI:107555]"
"1"	"ENSMUSG00000029096"	"Htra3"	"TRE+NRE"	0.160019632663961	0.321375667754981	2.00835149040659	7.81886324378847e-09	2.95521116887679e-07	"5"	"HtrA serine peptidase 3 [Source:MGI Symbol;Acc:MGI:1925808]"
"1"	"ENSMUSG00000035373"	"Ccl7"	"TRE"	0.755132689735461	1.11456628851072	1.4759873379355	9.75661965682036e-09	3.54299207930025e-07	"11"	"chemokine (C-C motif) ligand 7 [Source:MGI Symbol;Acc:MGI:99512]"
"1"	"ENSMUSG00000017493"	"Igfbp4"	"TRE+NRE"	0.998090115371009	0.652850359961556	0.654099614761618	1.1110401224949e-08	3.99542972205933e-07	"11"	"insulin-like growth factor binding protein 4 [Source:MGI Symbol;Acc:MGI:96439]"
"1"	"ENSMUSG00000021765"	"Fst"	"TRE+NRE"	0.165456994786493	0.327209493697732	1.97761052121107	1.46426648043702e-08	5.16537432717975e-07	"13"	"follistatin [Source:MGI Symbol;Acc:MGI:95586]"
"1"	"ENSMUSG00000056481"	"Cd248"	"TRE"	0.137728306969356	0.284639518767295	2.06667405583245	1.60012614391164e-08	5.58385326666216e-07	"19"	"CD248 antigen, endosialin [Source:MGI Symbol;Acc:MGI:1917695]"
"1"	"ENSMUSG00000032802"	"Srxn1"	"TRE+NRE"	0.167262940927088	0.327653928571727	1.9589152669183	1.60550856614341e-08	5.58385326666216e-07	"2"	"sulfiredoxin 1 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:104971]"
"1"	"ENSMUSG00000029380"	"Cxcl1"	"TRE+NRE"	4.28043320804041	3.03962639184034	0.710121205986971	2.62348721408965e-08	8.83399694635279e-07	"5"	"chemokine (C-X-C motif) ligand 1 [Source:MGI Symbol;Acc:MGI:108068]"
"1"	"ENSMUSG00000058600"	"Rpl30"	"TRE+NRE"	0.714426247237079	1.04096368239409	1.45706248394406	3.44118420901485e-08	1.14830146938658e-06	"15"	"ribosomal protein L30 [Source:MGI Symbol;Acc:MGI:98037]"
"1"	"ENSMUSG00000024598"	"Fbn2"	"TRE"	0.427815729508274	0.664545664156528	1.55334556052988	4.33543920826764e-08	1.43379168101994e-06	"18"	"fibrillin 2 [Source:MGI Symbol;Acc:MGI:95490]"
"1"	"ENSMUSG00000030116"	"Mfap5"	"TRE+NRE"	0.10988319381831	0.238146882821223	2.16727303371793	5.87120040592833e-08	1.93306011587187e-06	"6"	"microfibrillar associated protein 5 [Source:MGI Symbol;Acc:MGI:1354387]"
"1"	"ENSMUSG00000027797"	"Dclk1"	"TRE+NRE"	0.968917842187493	0.65303700499956	0.673985942425438	1.13778067580526e-07	3.64877889453047e-06	"3"	"doublecortin-like kinase 1 [Source:MGI Symbol;Acc:MGI:1330861]"
"1"	"ENSMUSG00000007097"	"Atp1a2"	"TRE+NRE"	0.30898772187229	0.151840535433978	0.491412844866166	1.66692043905523e-07	5.27715667201758e-06	"1"	"ATPase, Na+/K+ transporting, alpha 2 polypeptide [Source:MGI Symbol;Acc:MGI:88106]"
"1"	"ENSMUSG00000053477"	"Tcf4"	"TRE+NRE"	0.520668168595152	0.307942928246088	0.591437976853796	1.88850865946899e-07	5.90298402926002e-06	"18"	"transcription factor 4 [Source:MGI Symbol;Acc:MGI:98506]"
"1"	"ENSMUSG00000032014"	"Oaf"	"TRE"	0.131562580154264	0.262429111699263	1.99470937246404	2.83839761345824e-07	8.54749980508076e-06	"9"	"out at first homolog [Source:MGI Symbol;Acc:MGI:94852]"
"1"	"ENSMUSG00000034855"	"Cxcl10"	"TRE"	0.588182024703055	0.840544389467871	1.42905487445357	3.84560607064898e-07	1.12601777752441e-05	"5"	"chemokine (C-X-C motif) ligand 10 [Source:MGI Symbol;Acc:MGI:1352450]"
"1"	"ENSMUSG00000019539"	"Rcn3"	"TRE"	0.334228882502017	0.52852455532096	1.58132520255119	4.19345258953609e-07	1.21823908954052e-05	"7"	"reticulocalbin 3, EF-hand calcium binding domain [Source:MGI Symbol;Acc:MGI:1277122]"
"1"	"ENSMUSG00000032035"	"Ets1"	"TRE+NRE"	0.361765787705917	0.194567262862111	0.537826597965302	4.95329937757229e-07	1.43336100738498e-05	"9"	"E26 avian leukemia oncogene 1, 5' domain [Source:MGI Symbol;Acc:MGI:95455]"
"1"	"ENSMUSG00000040785"	"Ttc3"	"TRE+NRE"	0.355607561069939	0.554578527208782	1.55952400320226	5.56922947909668e-07	1.59910278996699e-05	"16"	"tetratricopeptide repeat domain 3 [Source:MGI Symbol;Acc:MGI:1276539]"
"1"	"ENSMUSG00000014813"	"Stc1"	"TRE"	0.337418183072838	0.177815170303489	0.526987516452555	5.89372325900934e-07	1.67925776549005e-05	"14"	"stanniocalcin 1 [Source:MGI Symbol;Acc:MGI:109131]"
"1"	"ENSMUSG00000028214"	"Gem"	"TRE"	0.703445336851303	0.463426252322216	0.65879497388747	6.36313988526905e-07	1.80605901417905e-05	"4"	"GTP binding protein (gene overexpressed in skeletal muscle) [Source:MGI Symbol;Acc:MGI:99844]"
"1"	"ENSMUSG00000042436"	"Mfap4"	"TRE"	0.108978917721142	0.225331960443714	2.06766561052018	8.2521266289796e-07	2.30569280975545e-05	"11"	"microfibrillar-associated protein 4 [Source:MGI Symbol;Acc:MGI:1342276]"
"1"	"ENSMUSG00000029648"	"Flt1"	"TRE+NRE"	0.27780742781313	0.133104790088115	0.479126102336072	1.12007716519158e-06	3.05056310284532e-05	"5"	"FMS-like tyrosine kinase 1 [Source:MGI Symbol;Acc:MGI:95558]"
"1"	"ENSMUSG00000060550"	"H2-Q7"	"TRE+NRE"	0.350990363584986	0.188684976342539	0.537578793945584	1.2775207187193e-06	3.453968424917e-05	"17"	"histocompatibility 2, Q region locus 7 [Source:MGI Symbol;Acc:MGI:95936]"
"1"	"ENSMUSG00000058427"	"Cxcl2"	"TRE"	0.419428565850267	0.243239398907646	0.579930454699838	1.58599403798514e-06	4.25689993963549e-05	"5"	"chemokine (C-X-C motif) ligand 2 [Source:MGI Symbol;Acc:MGI:1340094]"
"1"	"ENSMUSG00000054404"	"Slfn5"	"TRE+NRE"	0.338077352800055	0.182818267625452	0.540758693569083	1.84204967434205e-06	4.87353713840212e-05	"11"	"schlafen 5 [Source:MGI Symbol;Acc:MGI:1329004]"
"1"	"ENSMUSG00000035202"	"Lars2"	"TRE+NRE"	0.80239369515324	0.56237266293989	0.700868746024343	3.85704736156249e-06	9.75187947251022e-05	"9"	"leucyl-tRNA synthetase, mitochondrial [Source:MGI Symbol;Acc:MGI:2142973]"
"1"	"ENSMUSG00000034205"	"Loxl2"	"TRE"	0.190580178733368	0.328415871965201	1.72324254362607	4.93413999638637e-06	0.000123486855044697	"14"	"lysyl oxidase-like 2 [Source:MGI Symbol;Acc:MGI:2137913]"
"1"	"ENSMUSG00000044147"	"Arf6"	"TRE+NRE"	0.227035412047283	0.374689376002394	1.65035653523671	4.96392587328377e-06	0.000123814016394903	"12"	"ADP-ribosylation factor 6 [Source:MGI Symbol;Acc:MGI:99435]"
"1"	"ENSMUSG00000020349"	"Ppp2ca"	"TRE+NRE"	0.348092182949576	0.526044255149048	1.51122111014268	5.04927879197135e-06	0.00012552032647961	"11"	"protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform [Source:MGI Symbol;Acc:MGI:1321159]"
"1"	"ENSMUSG00000001131"	"Timp1"	"TRE"	0.139169316199779	0.25295922963599	1.8176365059728	5.90311166749401e-06	0.000143377872894412	"X"	"tissue inhibitor of metalloproteinase 1 [Source:MGI Symbol;Acc:MGI:98752]"
"1"	"ENSMUSG00000022500"	"Litaf"	"TRE+NRE"	0.303599249930172	0.466726874370894	1.53731234342062	6.69816056079628e-06	0.00015903837639224	"16"	"LPS-induced TN factor [Source:MGI Symbol;Acc:MGI:1929512]"
"1"	"ENSMUSG00000026921"	"Egfl7"	"TRE+NRE"	0.217487227635918	0.101476596080429	0.466586462034935	6.76608127208736e-06	0.000160137795730425	"2"	"EGF-like domain 7 [Source:MGI Symbol;Acc:MGI:2449923]"
"1"	"ENSMUSG00000023885"	"Thbs2"	"TRE"	0.323949593752318	0.491004365365789	1.51568137400165	7.95399142801707e-06	0.000184763340531941	"17"	"thrombospondin 2 [Source:MGI Symbol;Acc:MGI:98738]"
"1"	"ENSMUSG00000062184"	"Hs6st2"	"TRE+NRE"	0.125505559074779	0.232205157275191	1.85015834347893	8.84122492301647e-06	0.000204674356967831	"X"	"heparan sulfate 6-O-sulfotransferase 2 [Source:MGI Symbol;Acc:MGI:1354959]"
"1"	"ENSMUSG00000020122"	"Egfr"	"TRE+NRE"	0.174008121603158	0.297926497140869	1.71214133223229	9.80590875748487e-06	0.000224898365558662	"11"	"epidermal growth factor receptor [Source:MGI Symbol;Acc:MGI:95294]"
"1"	"ENSMUSG00000030536"	"Iqgap1"	"TRE+NRE"	0.466886052213808	0.295843764409352	0.633653035910081	1.07943114792982e-05	0.000246043875195818	"7"	"IQ motif containing GTPase activating protein 1 [Source:MGI Symbol;Acc:MGI:1352757]"
"1"	"ENSMUSG00000053113"	"Socs3"	"TRE+NRE"	0.455945054294762	0.642639338507677	1.40946662860876	1.65437409194031e-05	0.000368036134327143	"11"	"suppressor of cytokine signaling 3 [Source:MGI Symbol;Acc:MGI:1201791]"
"1"	"ENSMUSG00000027875"	"Hmgcs2"	"TRE"	0.503507530487047	0.331589128353823	0.658558429172001	1.9007475512397e-05	0.000416589877502476	"3"	"3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2 [Source:MGI Symbol;Acc:MGI:101939]"
"1"	"ENSMUSG00000030560"	"Ctsc"	"TRE+NRE"	0.290408591579643	0.160596995074064	0.553003594695719	2.50774062703219e-05	0.000535370102739322	"7"	"cathepsin C [Source:MGI Symbol;Acc:MGI:109553]"
"1"	"ENSMUSG00000047867"	"Gimap6"	"TRE+NRE"	0.213484746223274	0.106872444496053	0.500609277181236	2.69337303034234e-05	0.000573347914045288	"6"	"GTPase, IMAP family member 6 [Source:MGI Symbol;Acc:MGI:1918876]"
"1"	"ENSMUSG00000035530"	"Eif1"	"TRE+NRE"	0.815128048717176	1.08246378786023	1.32796778317687	2.76943706453869e-05	0.000587850709859674	"11"	"eukaryotic translation initiation factor 1 [Source:MGI Symbol;Acc:MGI:105125]"
"1"	"ENSMUSG00000025921"	"Rdh10"	"TRE"	0.219454414351501	0.349751927319298	1.59373384378178	3.45404997263498e-05	0.000720777526683942	"1"	"retinol dehydrogenase 10 (all-trans) [Source:MGI Symbol;Acc:MGI:1924238]"
"1"	"ENSMUSG00000031871"	"Cdh5"	"TRE"	0.206888167886229	0.103622451010198	0.500862142426537	3.66789504767376e-05	0.000758987891429251	"8"	"cadherin 5 [Source:MGI Symbol;Acc:MGI:105057]"
"1"	"ENSMUSG00000036782"	"Klhl13"	"TRE+NRE"	0.134096272313932	0.234900379783128	1.75172937867509	5.07577876810192e-05	0.00103017449627669	"X"	"kelch-like 13 [Source:MGI Symbol;Acc:MGI:1914705]"
"1"	"ENSMUSG00000027978"	"Prss12"	"TRE"	0.146719682051572	0.252445480182379	1.72059724130021	5.34271290207938e-05	0.00108138844750284	"3"	"protease, serine 12 neurotrypsin (motopsin) [Source:MGI Symbol;Acc:MGI:1100881]"
"1"	"ENSMUSG00000020458"	"Rtn4"	"TRE+NRE"	0.294796413931826	0.43500287820263	1.4756043752392	5.74269387688485e-05	0.00114668130026854	"11"	"reticulon 4 [Source:MGI Symbol;Acc:MGI:1915835]"
"1"	"ENSMUSG00000017309"	"Cd300lg"	"TRE"	0.20376040713938	0.10336667626374	0.507295198880483	5.85537650065816e-05	0.00116603841712031	"11"	"CD300 molecule like family member G [Source:MGI Symbol;Acc:MGI:1289168]"
"1"	"ENSMUSG00000019943"	"Atp2b1"	"TRE+NRE"	0.318085572482391	0.462554470992269	1.45418249366804	6.79899499348749e-05	0.00133599349898555	"10"	"ATPase, Ca++ transporting, plasma membrane 1 [Source:MGI Symbol;Acc:MGI:104653]"
"1"	"ENSMUSG00000020486"	"Sept4"	"TRE+NRE"	0.246011738479847	0.134914063613388	0.548404984441181	7.67889920651015e-05	0.00149305210818444	"11"	"septin 4 [Source:MGI Symbol;Acc:MGI:1270156]"
"1"	"ENSMUSG00000030249"	"Abcc9"	"TRE+NRE"	0.497273491418697	0.335889766709925	0.67546284390034	7.90419206149097e-05	0.00152883171779439	"6"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 9 [Source:MGI Symbol;Acc:MGI:1352630]"
"1"	"ENSMUSG00000031880"	"Rrad"	"TRE"	0.176594923222638	0.284265144323905	1.6097016784878	9.73567843593813e-05	0.0018509203127125	"8"	"Ras-related associated with diabetes [Source:MGI Symbol;Acc:MGI:1930943]"
"1"	"ENSMUSG00000054555"	"Adam12"	"TRE"	0.259836206563751	0.387987196337273	1.49319912520382	0.00010674302260584	0.00200698556209153	"7"	"a disintegrin and metallopeptidase domain 12 (meltrin alpha) [Source:MGI Symbol;Acc:MGI:105378]"
"1"	"ENSMUSG00000056427"	"Slit3"	"TRE"	0.150807678645169	0.249742702918987	1.65603439534799	0.000124060861082323	0.00232081530024709	"11"	"slit guidance ligand 3 [Source:MGI Symbol;Acc:MGI:1315202]"
"1"	"ENSMUSG00000055546"	"Timd4"	"TRE"	0.210019912690087	0.10855891114542	0.516898182438604	0.000139365642034683	0.00258105169048233	"11"	"T cell immunoglobulin and mucin domain containing 4 [Source:MGI Symbol;Acc:MGI:2445125]"
"1"	"ENSMUSG00000027177"	"Hipk3"	"TRE+NRE"	0.221573416839151	0.338873771784321	1.5293972382541	0.000139995199768944	0.00258149751345454	"2"	"homeodomain interacting protein kinase 3 [Source:MGI Symbol;Acc:MGI:1314882]"
